Truck Type,Carton Count,Load Type,Estimated Cargo Volume,Fill Percentage
53ft Van,1526,Chewy,6867.0,83.84433910624945
53ft Van,2108,Overhead,6324.0,77.30711653879078
53ft Van,1980,Combination,7920.0,65.85728963394133
53ft Van,2158,IC,12948.0,77.1601259762755
53ft Van,1548,Combination,6192.0,61.30811315263301
53ft Van,1719,Combination,6876.0,74.09833541972829
53ft Van,1872,Overhead,5616.0,86.50482066798777
53ft Van,2244,Combination,8976.0,88.59215541071859
53ft Van,1996,IC,11976.0,76.5829490050647
53ft Van,1598,Chewy,7191.0,89.40994751148136
53ft Van,1690,Combination,6760.0,69.17091057861546
53ft Van,1660,Combination,6640.0,69.50766015468832
53ft Van,1517,Combination,6068.0,76.70403787375051
53ft Van,2065,Chewy,9292.5,80.88089390024919
53ft Van,2185,Combination,8740.0,62.915294813123054
53ft Van,2162,Combination,8648.0,64.20252045709572
53ft Van,1989,Chewy,8950.5,86.32119215783867
53ft Van,1603,IC,9618.0,80.91047222985804
53ft Van,1745,Chewy,7852.5,70.78473453659265
53ft Van,2181,IC,13086.0,84.28083466435541
53ft Van,1907,Chewy,8581.5,87.39721657669413
53ft Van,1535,Overhead,4605.0,83.94885536900325
53ft Van,2275,IC,13650.0,81.0590063177311
53ft Van,2153,Combination,8612.0,86.70016025452699
53ft Van,1642,Chewy,7389.0,71.26748857919831
53ft Van,2299,Overhead,6897.0,77.34840422988522
53ft Van,1550,Overhead,4650.0,73.96794054397381
53ft Van,1689,Chewy,7600.5,68.59623756384853
53ft Van,2069,Overhead,6207.0,60.915007498171484
53ft Van,2181,Combination,8724.0,84.67801681978975
53ft Van,1943,Overhead,5829.0,69.79953725388123
53ft Van,1552,Combination,6208.0,68.14628747459226
53ft Van,1504,Combination,6016.0,73.71795484841186
53ft Van,1849,Overhead,5547.0,76.2190536483032
53ft Van,2155,Chewy,9697.5,89.27556238387604
53ft Van,1605,Combination,6420.0,69.68869418823738
53ft Van,1619,IC,9714.0,68.12496753786223
53ft Van,1557,Combination,6228.0,62.35369144026798
53ft Van,1973,IC,11838.0,88.87945244033776
53ft Van,1626,Chewy,7317.0,80.87922618281094
53ft Van,2140,IC,12840.0,65.19882960212537
53ft Van,2250,IC,13500.0,67.50728694493786
53ft Van,1617,Overhead,4851.0,81.43787768100186
53ft Van,1736,Combination,6944.0,68.39801690837828
53ft Van,1688,Combination,6752.0,82.13690750087305
53ft Van,2080,Chewy,9360.0,78.35162238703057
53ft Van,1575,Chewy,7087.5,76.98111631482229
53ft Van,1585,Chewy,7132.5,60.43180465889267
53ft Van,1719,Overhead,5157.0,61.38007926065258
53ft Van,1593,IC,9558.0,85.66381752033021
53ft Van,1952,Combination,7808.0,74.22521487261976
53ft Van,1973,Overhead,5919.0,74.74847625350498
53ft Van,2111,Chewy,9499.5,65.19605609730046
53ft Van,1856,Overhead,5568.0,71.9551420319212
53ft Van,2257,Overhead,6771.0,79.05280952602931
53ft Van,1679,Overhead,5037.0,71.23837843879414
53ft Van,2158,Overhead,6474.0,75.09408775740263
53ft Van,1824,IC,10944.0,80.51891308194423
53ft Van,2291,Combination,9164.0,88.31674813682271
53ft Van,1996,Overhead,5988.0,86.01596800665011
53ft Van,1974,Combination,7896.0,84.02847884047199
53ft Van,2189,Combination,8756.0,77.201011250158
53ft Van,2190,IC,13140.0,84.61918427231866
53ft Van,2076,Combination,8304.0,88.83571691471742
53ft Van,1542,Overhead,4626.0,65.8737340436789
53ft Van,1511,IC,9066.0,63.0233400413228
53ft Van,1752,Overhead,5256.0,62.83328882267785
53ft Van,2226,Chewy,10017.0,62.135659453806866
53ft Van,2104,Combination,8416.0,85.34625932908364
53ft Van,1917,Overhead,5751.0,67.82083584707709
53ft Van,1695,Chewy,7627.5,80.78671076075818
53ft Van,1992,Overhead,5976.0,88.09944455567123
53ft Van,1919,Combination,7676.0,72.53838095146736
53ft Van,2260,IC,13560.0,76.43915649744262
53ft Van,1956,IC,11736.0,77.05560851249875
53ft Van,2188,Chewy,9846.0,81.94943265898921
53ft Van,1595,Combination,6380.0,70.22410620759054
53ft Van,2235,Overhead,6705.0,85.75238255529035
53ft Van,2194,IC,13164.0,82.52613203374491
53ft Van,2297,IC,13782.0,87.076587200387
53ft Van,2095,Overhead,6285.0,84.79372398323224
53ft Van,1896,Overhead,5688.0,86.86569685488601
53ft Van,2111,IC,12666.0,60.32512954440895
53ft Van,1575,IC,9450.0,70.64715571388162
53ft Van,2217,Combination,8868.0,80.3030971327291
53ft Van,2005,Combination,8020.0,78.95511636509397
53ft Van,1568,IC,9408.0,68.79632315094193
53ft Van,1968,IC,11808.0,82.5712358831304
53ft Van,1643,Chewy,7393.5,83.68854428383662
53ft Van,2192,IC,13152.0,74.83260914107744
53ft Van,1897,Chewy,8536.5,76.48586646971206
53ft Van,1662,IC,9972.0,86.63112548274898
53ft Van,2157,Chewy,9706.5,89.05955831922404
53ft Van,1573,IC,9438.0,85.10891622712121
53ft Van,1752,IC,10512.0,85.15442291291956
53ft Van,2152,Overhead,6456.0,66.67729252713092
53ft Van,2294,IC,13764.0,81.18726681469488
53ft Van,1528,IC,9168.0,62.545131422555755
53ft Van,2147,Chewy,9661.5,71.22812387268361
53ft Van,1841,IC,11046.0,84.38398701772508
53ft Van,1826,Chewy,8217.0,89.58003191468613
53ft Van,1569,Combination,6276.0,81.245435867496
53ft Van,1944,Chewy,8748.0,71.33962770366763
53ft Van,1590,Chewy,7155.0,67.46172463290864
53ft Van,1538,Chewy,6921.0,73.03355533464814
53ft Van,2152,IC,12912.0,72.1560626034425
53ft Van,1557,Overhead,4671.0,82.22921582732005
53ft Van,1860,Combination,7440.0,82.32634970829893
53ft Van,1847,Chewy,8311.5,88.86517645423626
53ft Van,2007,Chewy,9031.5,68.57136258845583
53ft Van,1616,Combination,6464.0,88.89667618321835
53ft Van,2184,Combination,8736.0,89.09636480122917
53ft Van,1648,IC,9888.0,61.30202349894518
53ft Van,1702,IC,10212.0,87.57347145835979
53ft Van,1726,Combination,6904.0,80.86233369319942
53ft Van,1901,IC,11406.0,64.98646295727758
53ft Van,2025,IC,12150.0,68.8348184051829
53ft Van,1872,IC,11232.0,80.90775167591444
53ft Van,2155,Chewy,9697.5,82.11302117529058
53ft Van,1511,Chewy,6799.5,88.76107222223538
53ft Van,1857,Combination,7428.0,73.6697025835714
53ft Van,1872,Combination,7488.0,68.32143548943398
53ft Van,2175,Combination,8700.0,73.91095214819947
53ft Van,1815,Overhead,5445.0,77.50968335552616
53ft Van,1540,Combination,6160.0,67.79849588562789
53ft Van,2001,Chewy,9004.5,60.96947853328951
53ft Van,2223,IC,13338.0,78.08345646069895
53ft Van,2057,Combination,8228.0,62.286011387974895
53ft Van,2093,Overhead,6279.0,72.49917173215438
53ft Van,1949,IC,11694.0,62.48245260105919
53ft Van,1741,Overhead,5223.0,76.5476361763221
53ft Van,1618,IC,9708.0,72.33765349756106
53ft Van,1564,Overhead,4692.0,74.41110245599064
53ft Van,1676,Chewy,7542.0,71.30216909813822
53ft Van,1562,Overhead,4686.0,71.78968346936577
53ft Van,2294,Chewy,10323.0,77.07244407497242
53ft Van,2109,IC,12654.0,61.10465602907974
53ft Van,1884,Chewy,8478.0,60.41015894480992
53ft Van,2017,Chewy,9076.5,80.75143191506736
53ft Van,2144,IC,12864.0,89.89910511221716
53ft Van,1522,IC,9132.0,83.06962245541531
53ft Van,2213,IC,13278.0,85.48942172032234
53ft Van,1584,IC,9504.0,73.5163240593028
53ft Van,1500,Overhead,4500.0,88.62153081776167
53ft Van,2271,IC,13626.0,66.85928416510389
53ft Van,1987,IC,11922.0,78.54384721373688
53ft Van,1594,Combination,6376.0,63.40672776598887
53ft Van,1749,Overhead,5247.0,75.6092310271138
53ft Van,2270,Overhead,6810.0,75.6049050333598
53ft Van,1553,Combination,6212.0,89.0392129631947
53ft Van,2233,Overhead,6699.0,83.75453518408898
53ft Van,2123,IC,12738.0,74.40137901055425
53ft Van,1706,Chewy,7677.0,83.5400479183293
53ft Van,2077,Overhead,6231.0,84.15134002558085
53ft Van,1921,Chewy,8644.5,78.51791136291877
53ft Van,1805,Overhead,5415.0,77.69753060563899
53ft Van,1834,Overhead,5502.0,73.12424766071187
53ft Van,1807,Chewy,8131.5,76.42338920697335
53ft Van,1834,IC,11004.0,71.8962834696381
53ft Van,1605,Chewy,7222.5,85.87091126240236
53ft Van,2296,IC,13776.0,64.41220442787113
53ft Van,1900,Combination,7600.0,74.76348879238614
53ft Van,1568,Combination,6272.0,89.40097725856431
53ft Van,1949,IC,11694.0,69.86254830862525
53ft Van,1542,Chewy,6939.0,67.2043685633458
53ft Van,1610,Chewy,7245.0,63.866391657319475
53ft Van,1594,Chewy,7173.0,72.00901466730843
53ft Van,2019,Combination,8076.0,65.40201817047895
53ft Van,2195,Combination,8780.0,72.34983643072584
53ft Van,1694,Combination,6776.0,75.45708164592632
53ft Van,1560,Combination,6240.0,65.76867056426012
53ft Van,2288,Chewy,10296.0,65.06805189216493
53ft Van,2181,Combination,8724.0,65.3103145283024
53ft Van,2012,IC,12072.0,76.03270511197569
53ft Van,1845,Combination,7380.0,86.82651788687778
53ft Van,1577,IC,9462.0,69.90298539930467
53ft Van,1572,Chewy,7074.0,62.76871758686238
53ft Van,1620,Chewy,7290.0,80.63354151288249
53ft Van,1849,Combination,7396.0,64.70933048148581
53ft Van,2072,Combination,8288.0,60.0778507315094
53ft Van,1756,Combination,7024.0,62.535510230420456
53ft Van,1752,Chewy,7884.0,89.58770987600445
53ft Van,2138,Chewy,9621.0,87.721252773223
53ft Van,1973,Overhead,5919.0,82.79866226812757
53ft Van,1715,Overhead,5145.0,81.61548184174394
53ft Van,2025,Overhead,6075.0,64.4321727571868
53ft Van,1506,Chewy,6777.0,80.61496516209994
53ft Van,2249,Chewy,10120.5,82.48848696025762
53ft Van,1773,Combination,7092.0,73.42237100470363
53ft Van,1514,Chewy,6813.0,63.14607499597443
53ft Van,1984,Chewy,8928.0,65.46851635427875
53ft Van,1772,Chewy,7974.0,66.34344020989634
53ft Van,1625,Overhead,4875.0,63.59286395457754
53ft Van,2024,IC,12144.0,77.80777360662145
53ft Van,1893,Combination,7572.0,83.67513715822015
53ft Van,1645,IC,9870.0,62.60760864262271
53ft Van,1969,Chewy,8860.5,77.60523354062637
53ft Van,1868,Combination,7472.0,76.93375627567923
53ft Van,1924,Overhead,5772.0,70.12340501615755
53ft Van,1781,Combination,7124.0,78.22665666880718
53ft Van,1814,Chewy,8163.0,89.59545746378939
53ft Van,1876,IC,11256.0,67.11680375207983
53ft Van,1776,Overhead,5328.0,64.58577417552996
53ft Van,2123,Chewy,9553.5,64.82044119778666
53ft Van,1945,Chewy,8752.5,68.55285506081542
53ft Van,2163,Chewy,9733.5,86.90296273879275
53ft Van,1742,Chewy,7839.0,60.547274442850835
53ft Van,2047,IC,12282.0,89.91766604305184
53ft Van,1821,Overhead,5463.0,77.2799525341698
53ft Van,1503,Chewy,6763.5,60.159000191928165
53ft Van,2105,Overhead,6315.0,65.12662762170197
53ft Van,2073,Chewy,9328.5,87.88127967382758
53ft Van,2214,Chewy,9963.0,77.14838068409699
53ft Van,1672,Chewy,7524.0,83.0847879957581
53ft Van,1909,Overhead,5727.0,69.71037709212732
53ft Van,2223,Chewy,10003.5,75.22831136053365
53ft Van,1639,IC,9834.0,63.445104742176106
53ft Van,2153,Overhead,6459.0,68.65891659720768
53ft Van,1638,IC,9828.0,87.96043026770802
53ft Van,1758,IC,10548.0,61.55470610467281
53ft Van,1509,Overhead,4527.0,76.4580935381446
53ft Van,1671,Overhead,5013.0,66.05191386990708
53ft Van,2141,Combination,8564.0,62.6360433372797
53ft Van,2112,Chewy,9504.0,60.08132698242989
53ft Van,2049,IC,12294.0,72.35522742441806
53ft Van,1594,Overhead,4782.0,87.88587432743478
53ft Van,1735,Overhead,5205.0,72.2555487880775
53ft Van,1875,IC,11250.0,89.72788429372171
53ft Van,2087,Overhead,6261.0,71.37685754891402
53ft Van,1795,IC,10770.0,81.64789652253832
53ft Van,1848,Combination,7392.0,64.19317129878868
53ft Van,1728,IC,10368.0,66.04881960143234
53ft Van,1790,Overhead,5370.0,64.92797393792979
53ft Van,1878,IC,11268.0,79.01275691160532
53ft Van,1631,Overhead,4893.0,69.48589746889483
53ft Van,1588,Overhead,4764.0,80.48946190251397
53ft Van,1794,Combination,7176.0,81.41347364565978
53ft Van,2190,Combination,8760.0,78.72304632545513
53ft Van,1522,IC,9132.0,73.16234026165017
53ft Van,2164,IC,12984.0,70.66087355455187
53ft Van,2002,Chewy,9009.0,75.95572439064522
53ft Van,2115,IC,12690.0,66.87076172774388
53ft Van,1697,Chewy,7636.5,88.19496370840426
53ft Van,1678,Chewy,7551.0,70.04716843971258
53ft Van,1999,Combination,7996.0,83.82075567810888
53ft Van,1788,IC,10728.0,76.00383275928965
53ft Van,1919,Chewy,8635.5,89.93077847771531
53ft Van,1596,IC,9576.0,81.20941383730377
53ft Van,1788,Chewy,8046.0,61.00597304207338
53ft Van,2021,Overhead,6063.0,74.81944461392588
53ft Van,1617,Overhead,4851.0,84.63771914016039
53ft Van,1727,Chewy,7771.5,73.71000657845035
53ft Van,2195,Combination,8780.0,75.06865042387591
53ft Van,1760,Combination,7040.0,74.59072445986823
53ft Van,2184,Combination,8736.0,81.60109609638224
53ft Van,2126,Chewy,9567.0,80.818453334013
53ft Van,2293,Combination,9172.0,67.55397176720858
53ft Van,2159,IC,12954.0,65.44793150404277
53ft Van,2049,Overhead,6147.0,66.82052949089962
53ft Van,1845,Chewy,8302.5,88.41850018835446
53ft Van,1717,Combination,6868.0,77.58689496050391
53ft Van,1709,Overhead,5127.0,78.34362706303943
53ft Van,2115,Chewy,9517.5,86.16371726832455
53ft Van,1855,Combination,7420.0,87.5625156678224
53ft Van,1626,IC,9756.0,64.57617128742784
53ft Van,2298,Combination,9192.0,78.20145139148568
53ft Van,1550,Overhead,4650.0,82.09332706874169
53ft Van,1796,Combination,7184.0,87.76705538720329
53ft Van,2268,Chewy,10206.0,63.39714137522266
53ft Van,1845,IC,11070.0,85.16694259337802
53ft Van,1500,Overhead,4500.0,86.09689086186384
53ft Van,1870,Chewy,8415.0,77.73826307234788
53ft Van,1930,IC,11580.0,61.64284916466094
53ft Van,1701,IC,10206.0,84.08560345794035
53ft Van,2165,IC,12990.0,70.00497515073432
53ft Van,1743,Chewy,7843.5,76.12186808813769
53ft Van,1885,Chewy,8482.5,73.9710036695644
53ft Van,1917,Chewy,8626.5,87.55364174817903
53ft Van,2262,Combination,9048.0,64.22571061139399
53ft Van,1524,Combination,6096.0,74.95103318218439
53ft Van,2000,Overhead,6000.0,87.445377032043
53ft Van,1784,IC,10704.0,77.4176505083413
53ft Van,2165,Overhead,6495.0,60.39283369765001
53ft Van,1548,IC,9288.0,65.34107900609254
53ft Van,1860,Combination,7440.0,64.4598818325934
53ft Van,1841,Overhead,5523.0,62.56049004235932
53ft Van,1859,IC,11154.0,75.06585030993728
53ft Van,2235,IC,13410.0,62.012294321652824
53ft Van,1934,Chewy,8703.0,66.29716779286757
53ft Van,1817,Chewy,8176.5,66.15418921446022
53ft Van,1804,IC,10824.0,61.09649003544285
53ft Van,1643,Overhead,4929.0,76.94523399787849
53ft Van,2268,Overhead,6804.0,83.26582850085032
53ft Van,1693,Chewy,7618.5,76.0336767377174
53ft Van,1613,IC,9678.0,74.91035846463747
53ft Van,2143,Chewy,9643.5,65.45784391485813
53ft Van,1554,IC,9324.0,88.38346386400897
53ft Van,2277,Combination,9108.0,68.12234019430662
53ft Van,1661,Overhead,4983.0,72.2620251329429
53ft Van,1554,Chewy,6993.0,64.68457792098572
53ft Van,1890,Overhead,5670.0,79.76771825730454
53ft Van,1812,IC,10872.0,66.65916485798849
53ft Van,1942,Combination,7768.0,75.16523637318102
53ft Van,1553,Combination,6212.0,70.17813737688573
53ft Van,2078,IC,12468.0,86.62381447540508
53ft Van,1763,Combination,7052.0,62.983241782780354
53ft Van,1587,Combination,6348.0,81.66800795566978
53ft Van,1990,Combination,7960.0,88.87947955664625
53ft Van,1664,Combination,6656.0,64.2324554633314
53ft Van,2234,Overhead,6702.0,69.71970183320398
53ft Van,1506,Overhead,4518.0,78.99722324732882
53ft Van,1650,IC,9900.0,85.44384286400651
53ft Van,1880,Combination,7520.0,86.2933222762588
53ft Van,2199,IC,13194.0,81.11838405415529
53ft Van,2208,IC,13248.0,70.25452055093628
53ft Van,1885,Overhead,5655.0,70.89177636585272
53ft Van,1895,Chewy,8527.5,84.9196351969575
53ft Van,1755,IC,10530.0,76.5614154255594
53ft Van,1552,Overhead,4656.0,68.83397278625753
53ft Van,2005,Combination,8020.0,82.90817382479283
53ft Van,2092,Combination,8368.0,86.05403927693739
53ft Van,1558,Combination,6232.0,86.83656680682274
53ft Van,2235,Combination,8940.0,72.756405134077
53ft Van,1708,Chewy,7686.0,68.06032078154838
53ft Van,1736,Combination,6944.0,72.07650130790941
53ft Van,2257,IC,13542.0,79.35162503307988
53ft Van,1503,Overhead,4509.0,63.96828633375991
53ft Van,1608,IC,9648.0,80.73665572828963
53ft Van,1574,IC,9444.0,84.67751627735022
53ft Van,1541,Combination,6164.0,77.2954942654276
53ft Van,1533,Overhead,4599.0,76.6253400754738
53ft Van,1877,IC,11262.0,81.60607744896888
53ft Van,1841,IC,11046.0,64.10656890206423
53ft Van,1786,IC,10716.0,86.21670232687546
53ft Van,2109,Combination,8436.0,78.0155058130096
53ft Van,1954,IC,11724.0,77.19883134538202
53ft Van,1975,IC,11850.0,83.12734131192812
53ft Van,2075,Overhead,6225.0,70.61614129683748
53ft Van,1862,Overhead,5586.0,65.53112762036889
53ft Van,1791,IC,10746.0,83.12957776606436
53ft Van,1648,IC,9888.0,85.11236972109089
53ft Van,2011,Chewy,9049.5,87.46541031875742
53ft Van,2243,Chewy,10093.5,76.99213920890692
53ft Van,1554,Overhead,4662.0,79.91013496087945
53ft Van,1905,Overhead,5715.0,81.9771629163075
53ft Van,2261,IC,13566.0,60.93549405183854
53ft Van,1966,Combination,7864.0,77.85233792100765
53ft Van,2006,Chewy,9027.0,77.90528546750667
53ft Van,1700,Overhead,5100.0,83.12736611237466
53ft Van,1572,IC,9432.0,62.254133452074264
53ft Van,2140,IC,12840.0,74.86473948618595
53ft Van,2115,Chewy,9517.5,73.04482015811239
53ft Van,1630,Chewy,7335.0,62.33296032236871
53ft Van,1671,Combination,6684.0,89.0309816462126
53ft Van,2023,Overhead,6069.0,70.8292169082008
53ft Van,1516,Combination,6064.0,88.50712061462407
53ft Van,1996,Chewy,8982.0,65.55398786515859
53ft Van,2091,Overhead,6273.0,86.18837507629225
53ft Van,2160,Combination,8640.0,82.77107536616549
53ft Van,1873,IC,11238.0,79.1169473936846
53ft Van,2036,Combination,8144.0,87.10091437908075
53ft Van,2154,Combination,8616.0,80.79525634370773
53ft Van,2037,IC,12222.0,61.182804341055174
53ft Van,1515,Overhead,4545.0,87.75744952246998
53ft Van,2293,Chewy,10318.5,77.03835691657889
53ft Van,1890,Overhead,5670.0,61.01837935757396
53ft Van,2018,IC,12108.0,68.92047022117652
53ft Van,1997,Combination,7988.0,72.65287979191538
53ft Van,2093,IC,12558.0,82.3519364436066
53ft Van,1901,Combination,7604.0,75.67303728213507
53ft Van,1772,Chewy,7974.0,79.50502051329684
53ft Van,2119,Combination,8476.0,63.61700657331836
53ft Van,1630,Overhead,4890.0,80.88866327634419
53ft Van,1682,Combination,6728.0,72.13456349045552
53ft Van,2026,Chewy,9117.0,84.11930938202693
53ft Van,1848,Combination,7392.0,79.84965525241624
53ft Van,2221,IC,13326.0,75.60504329636196
53ft Van,1925,IC,11550.0,86.29996133587349
53ft Van,1810,Overhead,5430.0,73.85828551726763
53ft Van,1913,Overhead,5739.0,60.007125707276536
53ft Van,1640,IC,9840.0,71.51891669759178
53ft Van,2238,Combination,8952.0,62.10089117242413
53ft Van,1528,Overhead,4584.0,83.0156486679338
53ft Van,1817,IC,10902.0,74.39626860911727
53ft Van,1771,IC,10626.0,86.21031342559016
53ft Van,1876,Chewy,8442.0,83.04820241593555
53ft Van,1858,IC,11148.0,75.67557574903569
53ft Van,2188,IC,13128.0,63.31422339394184
53ft Van,1875,Overhead,5625.0,68.61716974962245
53ft Van,1645,Combination,6580.0,67.0082325314973
53ft Van,1931,IC,11586.0,60.53621804200242
53ft Van,2084,Overhead,6252.0,63.28402796037346
53ft Van,1843,IC,11058.0,63.73312671890569
